"ts_rel_days","red","orange","black","N","date","pct_red","pct_orange","pct_black","pct_fake"
-55,10169,8857,2618,487149,2016-09-14,0.0208745168316059,0.0181812956610811,0.0053741257808186,0.0444299382735056
-49,10784,9966,2355,470604,2016-09-20,0.0229152323397166,0.0211770405691409,0.00500420735905347,0.049096480267911
-35,12659,10110,3123,752535,2016-10-04,0.0168218089524075,0.0134345910821424,0.00414997309095258,0.0344063731255025
-33,11445,9684,4043,476934,2016-10-06,0.0239970310357408,0.0203046962472795,0.00847706391240717,0.0527787911954275
-32,12367,9244,3288,573592,2016-10-07,0.02156062148705,0.0161159848812396,0.00573229752158329,0.0434089038898729
-28,17431,16910,5119,649815,2016-10-11,0.0268245577587467,0.0260227911020829,0.00787762670914029,0.0607249755699699
-18,9570,7080,3824,341786,2016-10-21,0.027999976593541,0.0207147162259426,0.0111882874079102,0.0599029802273938
-15,18812,13334,5650,548402,2016-10-24,0.0343033030514112,0.0243142804001444,0.0103026611865019,0.0689202446380575
-1,19946,14228,5865,843840,2016-11-07,0.0236371824042472,0.0168610163064088,0.00695036973833902,0.0474485684489951
18,8228,5208,1940,316027,2016-11-26,0.026035750109959,0.016479604590747,0.00613871599578517,0.0486540706964911
22,9221,6874,2015,478922,2016-11-30,0.0192536571717315,0.01435306793173,0.00420736570882106,0.0378140908122826
26,8126,6499,2228,319516,2016-12-04,0.0254322162270434,0.0203401394609347,0.00697304673318394,0.052745402421162
-75,10145,8914,1980,427607,2016-08-25,0.0237250559509082,0.0208462443318281,0.00463041998844734,0.0492017202711836
-73,8178,7202,2037,263237,2016-08-27,0.0310670612413908,0.027359375771643,0.00773827387487321,0.0661647108879071
-71,8806,6614,2053,371952,2016-08-29,0.0236750978620897,0.0177818643265798,0.00551952940164322,0.0469764915903127
-52,8005,6746,2467,291015,2016-09-17,0.0275071731697679,0.0231809356906001,0.00847722625981479,0.0591653351201828
-47,8837,6986,1699,427535,2016-09-22,0.0206696527769656,0.0163401826751026,0.00397394365373595,0.0409837791058042
-86,8683,6060,2812,260747,2016-08-14,0.0333004790083874,0.023240919358612,0.0107844002040292,0.0673257985710286
-77,9666,8248,2572,405566,2016-08-23,0.0238333588121292,0.0203370104989077,0.00634175448632282,0.0505121237973597
-68,10698,7601,2135,424516,2016-09-01,0.025200463586767,0.0179050966276889,0.00502925684779843,0.0481348170622544
-66,8441,7275,2203,265917,2016-09-03,0.031742987473535,0.0273581606290685,0.00828453991282994,0.0673856880154334
-45,9036,5959,2470,290246,2016-09-24,0.0311322119856949,0.0205308600290788,0.00851002253261027,0.0601730945473839
-17,13374,8716,5146,387076,2016-10-22,0.0345513542560117,0.0225175417747419,0.0132945468073453,0.070363442838099
-88,10806,10285,4986,373841,2016-08-12,0.0289053367608154,0.0275116961488975,0.0133372209040742,0.0697542538137871
25,7477,6999,1517,294418,2016-12-03,0.0253958657419044,0.0237723237030345,0.00515253822796161,0.0543207276729004
-72,8362,5078,2077,267068,2016-08-28,0.0313103778812887,0.0190138841044228,0.00777704554645259,0.0581013075321641
-69,10189,7528,1816,459352,2016-08-31,0.0221812466256814,0.016388303523224,0.0039533952176109,0.0425229453665163
-78,11593,9705,2413,403019,2016-08-22,0.0287653931948618,0.0240807505353346,0.00598731077194872,0.0588334545021451
-37,10331,8916,3733,363670,2016-10-02,0.0284076222949377,0.0245167322022713,0.0102648005059532,0.0631891550031622
-79,7618,6413,2590,274472,2016-08-21,0.0277551079891574,0.0233648605322219,0.00943629951324725,0.0605562680346265
